Published,User,Comment
2023-11-19T08:05:02Z,@pram275,"sudah banyak contoh di taun sebelum nya, beberapa pengungsi pada kabur untuk pindah ke malaysia..mereka membobol pagar penampungan.. di kasih ati malah ngelunjak..  jamgan biarkan mereka menetap di negri aceh."
2023-11-19T08:04:38Z,@user-vb9zr1uj6s,Usir saja mereka krn pasti jd masalah di aceh!
2023-11-19T07:57:02Z,@survivorgunung7233,"Etnis lain sedang bahu membahu melawan junta militer,kalian malah kabur jadi pengemis...memalukan.berjuanglah seperti palestina"
2023-11-19T07:47:49Z,@buditektifprayoga5409,Saran saya solusi terbaik rasa manusiawi...kepada mereka berikan tempat di satu pulau terluar untuk menjaga perbatasan NKRI isolasi dan berikan mereka fasilitas selama beberapa bln  dan jadikan mereka WNI dg kode khusus. <br>Indonesia kaya dari 17.000 pulau tentu sangat strategis dan positif langkah ini✍🏻💪🏻🙏🏻🙏🏻😇 buditektif
2023-11-19T07:44:00Z,@hannywilliams1284,Tidak bisa di kasihani karena sifat asli ROHINGYA tidak ada bedanya dengan sifat orang MADURA ibarat memelihara anakan anjing tapi pas udah gede gigit majikannya
2023-11-19T07:41:09Z,@abiekopigaruda3214,Bukanya rakyat nkri  menolak.. cuman kami tidak sudih punya saudara yang pecundang yang lari dari nanah air mereka.
2023-11-19T07:38:43Z,@abiekopigaruda3214,"Saharusnya rakyat muslim rohingya berjuang mempertahankan tanah air mereka. Sebagai mana rakyat  palestina berjuang, Bukan lari dari medan perang.."
2023-11-19T07:29:50Z,@pintusurga-ed5zb,"USIR ROHINGnya di Negara MALAYSIA suka bikin KERUSUHAN dimana-mana, suka MEMPERKOSA warga PRIBUMI MALAYSIA secara BRUTAL mangkannya di USIR dari Negara MALAYSIA ROHINGnya keturunan BANGLADESH,PEMALAS,KOTOR,BAU"
2023-11-19T07:27:09Z,@pintusurga-ed5zb,di MALAYSIA mereka SAMPAH GAK BERGUNA di TEMBAK MATI
2023-11-19T06:47:23Z,@dikaajha7298,Mereka berjlan tampa tujuan
2023-11-19T06:44:53Z,@alniwe9081,"Pulangkan...ujung,y jg bkin masalah"
2023-11-19T05:59:47Z,@YusPizerg-zy9js,"kirim aja ke falestina,,biar dapat bantuan dari indonesia.."
2023-11-19T05:58:45Z,@randymahardhikaputra9295,"Carikan pulau kosong, biarkan mereka tinggal disana"
